id,keyword,place,tweet,lemmatized_tweet,disaster
0,missing_keyword,unknown,Just hapened a terible car crash,Just hapened a terible car crash,1
2,missing_keyword,unknown,Heard about earthquake is diferent cities stay safe everyone,Heard about earthquake be diferent city stay safe everyone,1
3,missing_keyword,unknown,there is a forest fire at spot pond gese are fleing acros the stret I canot save them al,there be a forest fire at spot pond gese be flee acros the stret I canot save them al,1
9,missing_keyword,unknown,Apocalypse lighting Spokane wildfires,Apocalypse light Spokane wildfire,1
11,missing_keyword,unknown,Typhon Soudelor kils  in China and Taiwan,Typhon Soudelor kils in China and Taiwan,1
12,missing_keyword,unknown,Were shakingIts an earthquake,Were shakingIts an earthquake,1
21,missing_keyword,unknown,Theyd probably stil show more life than Arsenal did yesterday eh EH,Theyd probably stil show more life than Arsenal do yesterday eh EH,0
22,missing_keyword,unknown,Hey How are you,Hey How be you,0
27,missing_keyword,unknown,What a nice hat,What a nice hat,0
29,missing_keyword,unknown,Fuck of,Fuck of,0
30,missing_keyword,unknown,No I dont like cold,No I dont like cold,0
35,missing_keyword,unknown,NO Dont do that,NO Dont do that,0
42,missing_keyword,unknown,No dont tel me that,No dont tel me that,0
43,missing_keyword,unknown,What if,What if,0
45,missing_keyword,unknown,Awesome,Awesome,0
46,ablaze,London,Birmingham Wholesale Market is ablaze BC News Fire breaks out at Birminghams Wholesale Market htptcoirWqCEZWEU,Birmingham Wholesale Market be ablaze BC News Fire break out at Birminghams Wholesale Market htptcoirWqCEZWEU,1
47,ablaze,Niall's place | SAF 12 SQUAD |,sunkxsedhary wil you wear shorts for race ablaze ,sunkxsedhary wil you wear short for race ablaze,0
51,ablaze,NIGERIA,PreviouslyOnDoyinTv Toke MakinwaÛªs mariage crisis sets Nigerian Twiter ablaze htptcoCMghxBaXI,PreviouslyOnDoyinTv Toke MakinwaÛªs mariage crisis set Nigerian Twiter ablaze htptcoCMghxBaXI,1
58,ablaze,Live On Webcam,Check these out htptcorOINSmEJ htptcoTjZjiN htptcoYDUiXEfIpE htptcoLxTjcKLS nsfw,Check these out htptcorOINSmEJ htptcoTjZjiN htptcoYDUiXEfIpE htptcoLxTjcKLS nsfw,0
60,ablaze,"Los Angeles, Califnordia",PSA IÛªm spliting my personalities techies folow ablazeco Burners folow ablaze,PSA IÛªm split my personality techie folow ablazeco Burners folow ablaze,0
69,ablaze,threeonefive. ,beware world ablaze siera leone amp guap,beware world ablaze siera leone amp guap,0
70,ablaze,Washington State,Burning Man Ablaze by Turban Diva htptcohodWosAmWS via Etsy,Burning Man Ablaze by Turban Diva htptcohodWosAmWS via Etsy,0
72,ablaze,"Whoop Ass, Georgia",Not a dis song People wil take  thing and run with it Smh its an eye opener though He is about  set the game ablaze CyhiThePrynce,Not a dis song People wil take thing and run with it Smh it an eye opener though He be about set the game ablaze CyhiThePrynce,0
75,ablaze,India,Rape victim dies as she sets herself ablaze A yearold girl died of burn injuries as she set herself ablazeÛ htptcoUKhNrbOob,Rape victim dy a she set herself ablaze A yearold girl die of burn injury a she set herself ablazeÛ htptcoUKhNrbOob,1
84,ablaze,unknown,SETING MYSELF ABLAZE htptcovMePXhC,SETING MYSELF ABLAZE htptcovMePXhC,0
87,ablaze,"scarborough, ontario",CTVToronto the bins in front of the field by my house wer set ablaze the other day flames went rite up the hydro pole wonder if it was him,CTVToronto the bin in front of the field by my house wer set ablaze the other day flame go rite up the hydro pole wonder if it be him,1
88,ablaze,unknown,nowplaying Alfons Ablaze  on Puls Radio pulsradio htptcoaABJgWfDv,nowplaying Alfons Ablaze on Puls Radio pulsradio htptcoaABJgWfDv,0
90,ablaze,"121 N La Salle St, Suite 500",Burning Rahm Lets hope City Hal builds a giant woden mayoral efigy  fet tal amp sets it ablaze htptcokFomksnY JohnKas,Burning Rahm Lets hope City Hal build a giant woden mayoral efigy fet tal amp set it ablaze htptcokFomksnY JohnKas,0
94,ablaze,Wandering,PhilipaEilhart DhuBlath hurt but her eyes ablaze with insulted anger,PhilipaEilhart DhuBlath hurt but her eye ablaze with insult anger,0
99,accident,"Homewood, PA",Acident cleared in PaTurnpike on PATP EB betwen PA and Cranbery slow back to trafic htptcoSLOqnVyr,Acident clear in PaTurnpike on PATP EB betwen PA and Cranbery slow back to trafic htptcoSLOqnVyr,1
101,accident,unknown,Just got to love burning your self on a damn curling wand I swear someone neds to take it away from me cuase Im just acident prone,Just get to love burning your self on a damn curl wand I swear someone neds to take it away from me cuase Im just acident prone,0
103,accident,unknown,I hate badging shit in acident,I hate badging shit in acident,1
106,accident,USA, Car Recorder ZeroEdgeå¨ Dualens Car Camera Vehicle TraficDriving HistoryAcident Camcorder Large Re htptcokKFaSJvCj,Car Recorder ZeroEdgeå¨ Dualens Car Camera Vehicle TraficDriving HistoryAcident Camcorder Large Re htptcokKFaSJvCj,1
108,accident,Massachusetts,Coincidence Or Curse Stil Unresolved Secrets From Past htptcoVGDfpLE acident,Coincidence Or Curse Stil Unresolved Secrets From Past htptcoVGDfpLE acident,0
111,accident,Bexhill,TraficSouthE roadpoleast Acident on A near Lewes is it Kingston Roundabout rather than A,TraficSouthE roadpoleast Acident on A near Lewes be it Kingston Roundabout rather than A,1
115,accident,Anime World,sakumaen If you pretend to fel a certain way the feling can become genuine al by acident Hei Darker than Black manga anime,sakumaen If you pretend to fel a certain way the feling can become genuine al by acident Hei Darker than Black manga anime,0
116,accident,unknown,For Legal and Medical Referal Service Injured Cal us at  acident slipandfal dogbite,For Legal and Medical Referal Service Injured Cal u at acident slipandfal dogbite,1
122,accident,"Cowtown, Caliii !!",Theres a construction guy working on the Disney store and he has huge gauges in his ears that is a blody acident waiting to hapen,Theres a construction guy work on the Disney store and he have huge gauge in his ear that be a blody acident wait to hapen,0
123,accident,unknown,RobynJilian WlSDOMTETHS I fel like Im going to do it on acident Tesha is gona come out,RobynJilian WlSDOMTETHS I fel like Im go to do it on acident Tesha be gona come out,0
124,accident,"All Motorways, UK",On the M northbound betwen junctions J and JA there are curently delays of  mins due to an acident c htptcoLwIprBa,On the M northbound betwen junction J and JA there be curently delay of min due to an acident c htptcoLwIprBa,1
125,accident,"Frankfurt, Germany",DaveOshry Soembie So if I say that I met her by acident this wek would you be super jely Dave p,DaveOshry Soembie So if I say that I met her by acident this wek would you be super jely Dave p,0
127,accident,"Gresham, OR",ACIDENT HIT AND RUN COLD at  BLOCK OF SE VISTA TER GRESHAM OR Gresham Police PG  pdx,ACIDENT HIT AND RUN COLD at BLOCK OF SE VISTA TER GRESHAM OR Gresham Police PG pdx,1
140,accident,unknown,CalumSOS this hapened on acident but I like it htptcoQHmXuljSX,CalumSOS this hapened on acident but I like it htptcoQHmXuljSX,1
142,accident,Las Vegas ,Please donate and spread the word A training acident left the polevaulter Kira GrÌnberg a paraplegic htptcoMpnyClPK,Please donate and spread the word A training acident left the polevaulter Kira GrÌnberg a paraplegic htptcoMpnyClPK,0
147,aftershock,"Midland, Mi",Please like and share our new page for our Indor Trampoline Park Aftershock opening this fal htptcoUgXhHErxS,Please like and share our new page for our Indor Trampoline Park Aftershock opening this fal htptcoUgXhHErxS,0
